Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
221,0.9770813,0,-0.87315714,-0.5924381,1.4094486,0.0,0.0,0.0,0.0,0.0,1.5955421
222,0.9819641,0,-0.78480476,-0.6740562,1.3301315,0.0,0.0,0.0,0.0,0.0,1.5955421
223,0.98638916,0,-0.8098042,-0.6076722,1.350152,0.0,0.0,0.0,0.0,0.0,1.5955421
224,0.9907532,0,-0.7482934,-0.6630502,1.2957458,0.0,0.0,0.0,0.0,0.0,1.5955421
225,0.9951172,0,-0.7033076,-0.5078834,1.2409143,0.0,0.0,0.0,0.0,0.0,1.5955421
226,0.9994812,0,-0.71874493,-0.6988988,1.2736368,0.0,0.0,0.0,0.0,0.0,1.5955421
227,1.0038452,0,-0.78378814,-0.62356067,1.3295412,0.0,0.0,0.0,0.0,0.0,1.5955421
228,1.0082092,0,-0.80418974,-0.55696166,1.3450298,0.0,0.0,0.0,0.0,0.0,1.5955421
229,1.0125732,0,-0.7477978,-0.7831486,1.3096676,0.0,0.0,0.0,0.0,0.0,1.5955421
230,1.0169373,0,-0.7916176,-0.7014674,1.3468256,0.0,0.0,0.0,0.0,0.0,1.5955421
231,1.0213013,0,-0.8982009,-0.6946487,1.4518347,0.0,0.0,0.0,0.0,0.0,1.5955421
232,1.0256653,0,-0.82366765,-0.73836577,1.3822632,0.0,0.0,0.0,0.0,0.0,1.5955421
233,1.0300293,0,-0.911516,-0.6720443,1.46383,0.0,0.0,0.0,0.0,0.0,1.5955421
234,1.0343933,0,-0.7925429,-0.5998571,1.3375263,0.0,0.0,0.0,0.0,0.0,1.5955421
235,1.0387573,0,-0.7701878,-0.7623297,1.3302755,0.0,0.0,0.0,0.0,0.0,1.5955421
236,1.0431213,0,-0.75025964,-0.88037646,1.322011,0.0,0.0,0.0,0.0,0.0,1.5955421
237,1.0474854,0,-0.66486096,-0.8768059,1.2388725,0.0,0.0,0.0,0.0,0.0,1.5955421
238,1.0518494,0,-0.8190871,-0.75788367,1.3817987,0.0,0.0,0.0,0.0,0.0,1.5955421
239,1.0562134,0,-0.7666703,-0.7174844,1.326972,0.0,0.0,0.0,0.0,0.0,1.5955421
240,1.0605774,0,-0.8297751,-0.8424775,1.3995113,0.0,0.0,0.0,0.0,0.0,1.5955421
241,1.0649414,0,-0.64972085,-0.95878613,1.2321215,0.0,0.0,0.0,0.0,0.0,1.5955421
242,1.0693054,0,-0.8487506,-0.9329765,1.4237928,0.0,0.0,0.0,0.0,0.0,1.5955421
243,1.0736694,0,-0.820307,-0.8452146,1.3890152,0.0,0.0,0.0,0.0,0.0,1.5955421
244,1.0780334,0,-0.8123224,-0.87868154,1.3844681,0.0,0.0,0.0,0.0,0.0,1.5955421
245,1.0823975,0,-0.83719665,-0.71135783,1.3955126,0.0,0.0,0.0,0.0,0.0,1.5955421
246,1.0867615,0,-0.8974858,-0.84127176,1.467022,0.0,0.0,0.0,0.0,0.0,1.5955421
